"grammatical category"	"грамматическая категория"	"вчт."	"1"	"grammatical category"	"цельное слово"	""	""	""	"X"
"grammatical class"	"грамматический класс"	"мат."	"1"	"grammatical class"	"цельное слово"	""	""	""	"X"
"grammatical competence"	"грамматическая компетенция"	"лингв."	"1"	"grammatical competence"	"цельное слово"	""	""	""	"X"
"grammatical ability"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|ability"	""	""	""	"X"
"grammatical ability"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|ability"	""	""	""	"O"
"grammatical ability"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|ability"	""	""	""	"O"
"grammatical ability"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|ability"	""	""	""	"O"
"grammatical complexity"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|complexity"	""	""	""	"X"
"grammatical complexity"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|complexity"	""	""	""	"O"
"grammatical complexity"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|complexity"	""	""	""	"O"
"grammatical complexity"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|complexity"	""	""	""	"O"
"grammatical aspect"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|aspect"	""	""	""	"X"
"grammatical aspect"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|aspect"	""	""	""	"O"
"grammatical aspect"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|aspect"	""	""	""	"O"
"grammatical aspect"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|aspect"	""	""	""	"O"
"grammatical constraint"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|constraint"	""	""	""	"X"
"grammatical constraint"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|constraint"	""	""	""	"O"
"grammatical constraint"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|constraint"	""	""	""	"O"
"grammatical constraint"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|constraint"	""	""	""	"O"
"grammatical accuracy"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|accuracy"	""	""	""	"X"
"grammatical accuracy"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|accuracy"	""	""	""	"O"
"grammatical accuracy"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|accuracy"	""	""	""	"O"
"grammatical accuracy"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|accuracy"	""	""	""	"O"
"grammatical construction"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|construction"	""	""	""	"X"
"grammatical construction"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|construction"	""	""	""	"O"
"grammatical construction"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|construction"	""	""	""	"O"
"grammatical construction"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|construction"	""	""	""	"O"
"grammatical error"	"грамматическая ошибка"	"общ."	"1"	"grammatical error"	"цельное слово"	"Alex_Odeychuk"	"/m.exe?a=116&UserName=Alex_Odeychuk"	"Alex_Odeychuk"	"X"
"grammatical context"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|context"	""	""	""	"X"
"grammatical context"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|context"	""	""	""	"O"
"grammatical context"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|context"	""	""	""	"O"
"grammatical context"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|context"	""	""	""	"O"
"grammatical description"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|description"	""	""	""	"X"
"grammatical description"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|description"	""	""	""	"O"
"grammatical description"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|description"	""	""	""	"O"
"grammatical description"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|description"	""	""	""	"O"
"grammatical deficit"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|deficit"	""	""	""	"X"
"grammatical deficit"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|deficit"	""	""	""	"O"
"grammatical deficit"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|deficit"	""	""	""	"O"
"grammatical deficit"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|deficit"	""	""	""	"O"
"grammatical encoding"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|encoding"	""	""	""	"X"
"grammatical encoding"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|encoding"	""	""	""	"O"
"grammatical encoding"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|encoding"	""	""	""	"O"
"grammatical encoding"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|encoding"	""	""	""	"O"
"grammatical element"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|element"	""	""	""	"X"
"grammatical element"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|element"	""	""	""	"O"
"grammatical element"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|element"	""	""	""	"O"
"grammatical element"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|element"	""	""	""	"O"
"grammatical development"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|development"	""	""	""	"X"
"grammatical development"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|development"	""	""	""	"O"
"grammatical development"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|development"	""	""	""	"O"
"grammatical development"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|development"	""	""	""	"O"
"grammatical expression"	"грамматическое оформление"	"общ."	"1"	"grammatical expression"	"цельное слово"	""	""	""	"X"
"grammatical evolution"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|evolution"	""	""	""	"X"
"grammatical evolution"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|evolution"	""	""	""	"O"
"grammatical evolution"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|evolution"	""	""	""	"O"
"grammatical evolution"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|evolution"	""	""	""	"O"
"grammatical function"	"грамматическая функция"	"мат."	"1"	"grammatical function"	"цельное слово"	""	""	""	"X"
"grammatical gender"	"грамматический род"	"лингв."	"1"	"grammatical gender"	"цельное слово"	""	""	""	"X"
"grammatical form"	"грамматическая форма"	"лингв."	"1"	"grammatical form"	"цельное слово"	""	""	""	"X"
"grammatical feature"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|feature"	""	""	""	"X"
